Sand 			| Displayed as: Sand
KnifeFrometal 		| Displayed as: Frometal Knife
MaceFrometal 		| Displayed as: Frometal Mace
PickaxeFrometal 	| Displayed as: Frometal Pickaxe
ShieldFrometal 		| Displayed as: Frometal Shield
ShieldFrometalTower     | Displayed as: Frometal Tower Shield
SledgeaxeFrometal 	| Displayed as: Frometal Sledge
SpearFrometal 		| Displayed as: Frometal Spear
SwordFrometal 		| Displayed as: Frometal Sword

BowFlametal 		| Displayed as: Flametal Bow
AtgeirFlametal 		| Displayed as: Flametal Atgeir
ClubFlametal 		| Displayed as: Flametal Club
SledgeFlametal 		| Displayed as: Flametal Sledge
BattleaxeFlametal 	| Displayed as: Flametal Battleaxe
SpearFlametal 		| Displayed as: Flametal Spear
KnifeFlametal 		| Displayed as: Flametal Knife
MaceFlametal 		| Displayed as: Flametal Mace
SwordFlametal 		| Displayed as: Flametal Sword
ShieldFlametal 		| Displayed as: Flametal Shield
ShieldFlametalTower 	| Displayed as: Flametal Tower Shield
AxeFlametal 		| Displayed as: Flametal Axe
PickaxeFlametal 	| Displayed as: Flametal Pickaxe
HelmetRag 		| Displayed as: Rag Hat
ArmorRagsChes 		| Displayed as: Rag Tunic
ArmorRagsLeg 		| Displayed as: Rag Pants
CapeRag 		| Displayed as: Rag Cape
BeltRag 		| Displayed as: Rag Belt
HelmetLeathe 		| Displayed as: Leather Tunic
ArmorLeatherChes 	| Displayed as: $item_chest_leather
ArmorLeatherLeg 	| Displayed as: Leather Pants
CapeDeerHid 		| Displayed as: Deerskin Cape
BeltLeather 		| Displayed as: Leather Belt
HelmetBone 		| Displayed as: Bone Helmet
ArmorBoneChest 		| Displayed as: Bone Chestplate
ArmorBoneLegs 		| Displayed as: Bone Greaves
CapeBone 		| Displayed as: Bone Cape
BeltBone 		| Displayed as: Bone Belt
HelmetTrollLeathe 	| Displayed as: TrollLeather Helmet
ArmorTrollLeatherChes 	| Displayed as: TrollLeather Tunic
ArmorTrollLeatherLeg 	| Displayed as: TrollLeather Cape
CapeTrollHid 		| Displayed as: $item_cape_trollhide
BeltTrollHide 		| Displayed as: TrollHide Belt
HelmetBronz 		| Displayed as: Bronze Greaves
ArmorBronzeChes 	| Displayed as: Bronze Cuirass
ArmorBronzeLeg 		| Displayed as: $item_legs_bronze
CapeBronze 		| Displayed as: Bronze Cape
BeltBronze 		| Displayed as: Bronze Belt
HelmetAncient 		| Displayed as: Ancient Bark Helmet
ArmorAncientChest 	| Displayed as: Ancient Bark Chestplate
ArmorAncientLegs 	| Displayed as: Ancient Bark Greaves
CapeAncient 		| Displayed as: Ancient Bark Cape
BeltAncient 		| Displayed as: Ancient Bark Belt
HelmetIro 		| Displayed as: Iron Helmet
ArmorIronChes 		| Displayed as: Iron Plate Cuirass
ArmorIronLeg 		| Displayed as: Iron Plate Greaves
CapeIron 		| Displayed as: Iron Cape
BeltIron 		| Displayed as: Iron Belt
HelmetAbyssal 		| Displayed as: Abyssal Helmet
ArmorAbyssalChest 	| Displayed as: Abyssal Chestplate
ArmorAbyssalLegs 	| Displayed as: Abyssal Greaves
CapeAbyssal 		| Displayed as: Abyssal Cape
BeltAbyssal 		| Displayed as: Abyssal Belt
HelmetSilver 		| Displayed as: Silver Helmet
ArmorSilverChest 	| Displayed as: Silver Chestplate
ArmorSilverLegs 	| Displayed as: Silver Greaves
CapeSilver 		| Displayed as: Silver Cape
BeltSilver 		| Displayed as: Silver Belt
HelmetDrak 		| Displayed as: WolfPelt Helmet
ArmorWolfChes 		| Displayed as: WolfPelt Greaves
ArmorWolfLeg 		| Displayed as: $item_legs_wolf
CapeWol 		| Displayed as: WolfPelt Cape
BeltWolf 		| Displayed as: WolfPelt Belt
HelmetBlackMetal 	| Displayed as: BlackMetal Helmet
ArmorBlackMetalChest 	| Displayed as: BlackMetal Chestplate
ArmorBlackMetalLegs 	| Displayed as: BlackMetal Greaves
CapeBlackMetal 		| Displayed as: BlackMetal Cape
BeltBlackMetal 		| Displayed as: BlackMetal Belt
HelmetPadde 		| Displayed as: Padded Combat Greaves
ArmorPaddedChes 	| Displayed as: $item_chest_pcuirass
ArmorPaddedLeg 		| Displayed as: $item_legs_pgreaves
CapePadded 		| Displayed as: Padded Combat Cape
BeltPadded 		| Displayed as: Padded Combat Belt
HelmetHeavymetal 	| Displayed as: Heavymetal Helmet
ArmorHeavymetalChest 	| Displayed as: Heavymetal Chestplate
ArmorHeavymetalLegs 	| Displayed as: Heavymetal Greaves
CapeHeavymetal 		| Displayed as: Heavymetal Cape
BeltHeavymetal 		| Displayed as: Heavymetal Belt
HelmetHeavyscale 	| Displayed as: Heavyscale Helmet
ArmorHeavyscaleChest 	| Displayed as: Heavyscale Chestplate
ArmorHeavyscaleLegs 	| Displayed as: Heavyscale Greaves
CapeHeavyscale 		| Displayed as: Heavyscale Cape
BeltHeavyscale 		| Displayed as: Heavyscale Belt
HelmetFrometal 		| Displayed as: Frometal Helmet
ArmorFrometalChest 	| Displayed as: Frometal Chestplate
ArmorFrometalLegs 	| Displayed as: Frometal Greaves
CapeFrometal 		| Displayed as: Frometal Cape
BeltFrometal 		| Displayed as: Frometal Belt
HelmetDrakescale 	| Displayed as: Drakescale Helmet
ArmorDrakescaleChest 	| Displayed as: Drakescale Chestplate
ArmorDrakescaleLegs 	| Displayed as: Drakescale Greaves
CapeDrakescale 		| Displayed as: Drakescale Cape
BeltDrakescale 		| Displayed as: Drakescale Belt
HelmetFlametal 		| Displayed as: Flametal Helmet
ArmorFlametalChest 	| Displayed as: Flametal Chestplate
ArmorFlametalLegs 	| Displayed as: Flametal Greaves
CapeFlametal 		| Displayed as: Flametal Cape
BeltFlametal 		| Displayed as: Flametal Belt
HelmetForgedscale 	| Displayed as: Forgedscale Helmet
ArmorForgedscaleChest 	| Displayed as: Forgedscale Chestplate
ArmorForgedscaleLegs 	| Displayed as: Forgedscale Greaves
CapeForgedscale 	| Displayed as: Forgedscale Cape
BeltForgedscale 	| Displayed as: Forgedscale Belt

[View in raw text for correct structure!]
== Build Paths ==============================================================================================
">" = Tier builds into...
"|" = Tier Builds into.. or...
":" = Tier ends here.                        
                                             > Silver > Wolf:
              > TrollLeather > Glass:        |        > Blackmetal > Padded:
              |                              |        |
Rag > Leather > TrollLeather > Bronze > Iron > Silver > Blackmetal > Heavymetal > Frometal:
    |                        |        |                            |
    > Leather > Bone:        |        |                            > Heavymetal > Flametal:
                             |        > Iron > Abyssal:            |
                             > Bronze > Ancient:                   > Heavymetal > Heavyscale > Drakescale:
                                                                                |    
                                                                                > Heavyscale > Forgescale:                                                                    

=============================================================================================================
